title,address,total_ratings,rating,type,type2,description,timing,phone
,,,,,,,,
,,,,,,,,
22nd Parallel,"Jetalpur Rd First Floor, Tapan Complex ,Next To Mcube Mall, Vadodara 390007 India",562 reviews,4.0,₹2 – ₹2,"Indian, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",11:00 am - 11:00 pm and 11:00 am - 11:00 pm,+912652337733
,,,,,,,,
,,,,,,,,
The Barbeque Nation,"R C Dutt Road 3rd Floor, Shreem Shalini Mall, Near Alkapuri Petrol Pump, Alkapuri, Vadodara 390007 India",669 reviews,4.5,"Indian, Barbecue, Asian","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Lunch, Dinner, Brunch, After-hours",12:30 pm - 3:30 pm and 7:30 pm - 11:30 pm,+91 265 606 0000
,,,,,,,,
,,,,,,,,
,,,,,,,,
Azure,"Opposite Parsi Agiary Surya Palace Hotel, Vadodara 390020 India","1,046 reviews",4.5,₹8 – ₹37,"Indian, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",12:00 pm - 3:00 pm and 7:00 pm - 11:00 pm,+91 265 236 3366
Kansaar Gujarati Thali,"101 Unique Trade Centre Sayaji Ganj, Sayajigun, Vadodara 390007 India",94 reviews,4.0,Indian,"Vegetarian Friendly, Vegan Options","Lunch, Dinner",11:00 am - 3:00 pm and 7:00 pm - 10:15 pm,+91 82389 74764
,,,,,,,,
Mandarin Asian Kitchen,"Jetalpur Road 2nd Floor, Bell E Vista Complex, Chakli Cir, Vadodara 390007 India",267 reviews,4.0,"Chinese, Asian, Cantonese, Szechuan, Shanghai, Hong Kong","Vegetarian Friendly, Vegan Options","Lunch, Dinner, Brunch, After-hours",12:30 pm - 3:30 pm and 7:00 pm - 11:00 pm,+91 97145 02516
,,,,,,,,
Fiorella Italian Restaurant,"18/19, Alkapuri Society, Near Rbs Bank Lane Opposite C H Jewellers, Vadodara 390007 India",255 reviews,4.0,₹4 – ₹9,"Italian, Indian, Pizza, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",11:00 am - 3:00 pm and 7:00 pm - 11:00 pm,+91 265 613 9000
,,,,,,,,
,,,,,,,,
,,,,,,,,
San's Sizzlers,"2'nd Lane Alkapuri, Vadodara 390007 India",74 reviews,3.5,Vegetarian Friendly,"Lunch, Dinner","Reservations, Seating, Table Service",,+91 265 235 9055
,,,,,,,,
Havmor Restaurant,"Yash Kamal Building, Sayajiganj Rd Opposite M.S. University, Vadodara 390005 India",68 reviews,3.5,Indian,Vegetarian Friendly,"Lunch, Dinner",11:00 am - 3:00 pm and 7:00 pm - 11:00 pm,+91 265 222 5555
,,,,,,,,
,,,,,,,,
Mirch Masala Restaurant,"Inorbit Mall, Astoriya Complex, 1st Floor, Near Seven Seas Mall, Vadodara 390016 India",97 reviews,4.0,"Indian, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner",12:00 pm - 3:30 pm and 7:00 pm - 11:00 pm,+912656582229
Raju Omlet,"G - 2 V I P Road Next To Urjita Hospital, Karelibaug, Vadodara 390018 India",85 reviews,4.0,"Indian, Fast food","Lunch, Dinner",Takeout,4:00 pm - 10:00 pm and 4:00 pm - 10:00 pm,+91 99040 71787
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Mirch Masala,"S K Choudhari Marg, Vadodara 390007 India",156 reviews,4.0,"Indian, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner",,+91 265 235 0685
