title,address,total_ratings,rating,type,type2,description,timing,phone
,,,,,,,,
Rasthal Gujarati Thali,"Bhagwandas Chamber 1st Floor R C Dutt Road Opposite Circuit House, Jetalpur, Alkapuri, Vadodara 390007 India",80 reviews,4.0,Indian,"Vegetarian Friendly, Vegan Options","Lunch, Dinner",11:30 am - 3:15 pm and 7:00 pm - 10:45 pm,+91 82380 21055
,,,,,,,,
Lalabhai Sev Usal,"Mangalkirti Complex Fatehgunj, Vadodara 390002 India",11 reviews,3.5,"Indian, Fast food",Vegetarian Friendly,Lunch,,"Mangalkirti Complex Fatehgunj, Vadodara 390002 India"
Hotel Surya,"Sayaji Gunj, Vadodara 390020 India",49 reviews,4.0,"Indian, International, Asian","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner",,2361361
,,,,,,,,
Surya Palace,"Surya Palace Lalbaug Road Near Sallam Medical, Vadodara 390001 India",30 reviews,4.5,"Indian, Asian","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner",,2226000
,,,,,,,,
Mohanthal - CLOSED,"101, Trivia Complex, Natubhai Circle, Gotri Road 101, Trivya Complex, Near Natubhai Circle, Vadodara 390007 India",42 reviews,3.5,Indian,Vegetarian Friendly,"Lunch, Dinner",,+91 95585 37147
PinXX - KIitchen and Lounge,"Rocv. Akota Mujhmahuda, Vadodara 390020 India",64 reviews,4.0,"Italian, Chinese, Indian, International, Asian","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner",7:00 am - 12:00 am and 7:00 am - 12:00 am,+91 99798 62305
,,,,,,,,
Ratri Bajar,"L&T Circle, Vadodara India",62 reviews,4.0,"Indian, Fast food, Asian","Vegetarian Friendly, Vegan Options",Dinner,,"L&T Circle, Vadodara India"
Subway,"Shop No. 4/3 & 4/4, Govardhan Apartments Near Utkarsh Petrol Pump, Muktanand, Karelibaug, Vadodara 390018 India",59 reviews,4.0,₹0 – ₹2,"Fast food, International","Vegetarian Friendly, Vegan Options",12:00 pm - 1:00 am and 12:00 pm - 1:00 am,+91 265 248 0830
New Alka,"RC Dutt Road Sandeep Apartment, Vadodara 390021 India",96 reviews,4.0,"Indian, Asian","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner",9:00 am - 11:00 pm and 9:00 am - 11:00 pm,+91 265 225 2460
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Old School Eatery,"17/B Dr Rustom Cama Marg Nutan Bharat Society, Opposite Relience Fresh, Vadodara 390007 India",38 reviews,4.5,"Indian, Fast food","Vegetarian Friendly, Vegan Options","Lunch, Dinner",,+91 88888 56567
Gordhan Thal,"Jetalpur Road Dreamland Building, Below Chocolate Room, Alkapuri, Vadodara 390007 India",49 reviews,4.0,Indian,"Vegetarian Friendly, Vegan Options","Lunch, Dinner",,+91 265 235 6699
,,,,,,,,
,,,,,,,,
La Benito,"Shantanam Beside Tbz 1st Floor Race Course Road Oposite INOX multiplex, Vadodara 390007 India",57 reviews,4.0,₹2 – ₹10,"Italian, Mexican, Pizza, Mediterranean","Vegetarian Friendly, Vegan Options",11:00 am - 3:00 pm and 7:00 pm - 11:00 pm,+91 88662 56677
Gusto's Pizzeria,"Ellora Park Shaimi Society, Vadodara 390023 India",7 reviews,5.0,₹3 – ₹10,"Italian, Pizza, Southern-Italian","Lunch, Dinner, After-hours",11:00 am - 8:00 pm and 11:00 am - 8:00 pm,+91 70160 54450
,,,,,,,,
Rasa,"1275, Ward No. 7, Opposite 7 Seas Mall Fatehgunj, Four Points by Sheraton, Vadodara 390002 India",22 reviews,4.5,₹3 – ₹8,"Chinese, Indian, International","Vegetarian Friendly, Vegan Options",7:00 am - 11:00 pm and 7:00 am - 11:00 pm,+91 265 304 0065
,,,,,,,,
Gangaur Sweets,"9 Jetalpur Road G-1, Gold Croft, Alkapuri, Opposite Chikoowadi, Vadodara 390007 India",11 reviews,4.5,₹₹ - ₹₹₹,₹₹ - ₹₹₹,₹₹ - ₹₹₹,,+91 99749 83288
