title,address,total_ratings,rating,type,type2,description,timing,phone
Hotel Nyay Mandir Restaurant,"8 National Highway, Bharuch 392011 India",77 reviews,4.0,"Chinese, Indian, Fast food, Asian","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner, Brunch, After-hours",6:00 am - 5:59 am and 6:00 am - 5:59 am,+91 92274 34545
Blue Lagoon,"Akshar Chowk Old Padara Road, Vadodara 390007 India",49 reviews,4.0,"Indian, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner",11:00 am - 3:00 pm and 7:00 pm - 11:00 pm,+91 265 234 1325
,,,,,,,,
Oak Leaf,"1st Floor Sama Savli Road Next to Ambe School, Near Sama Jakat Naka, Vadodara 390008 India",30 reviews,4.0,"Italian, Mexican, Chinese, Indian, Asian, Thai","Vegetarian Friendly, Vegan Options","Lunch, Dinner",11:00 am - 3:30 pm and 7:00 pm - 11:00 pm,+91 90998 85500
Bendys Kitchen,"A-7 Vishakha Park, opp Nene Clinic, Rajesh Tower Rd, Vadodara 390021 India",10 reviews,4.5,"Lunch, Dinner",,,11:00 am - 3:00 pm and 6:00 pm - 11:00 pm,+91 94268 06096
Ramjhaniyu,"Subhan Pura Road Ellora Park, Opposite Pancharatna Complex, Vadodara 390023 India",2 reviews,4.5,Indian,"₹ · Indian, Cafe, Fast food","₹ · Indian, Fast food",,+91 265 238 5600
,,,,,,,,
,,,,,,,,
,,,,,,,,
Curry Kingdom Vadodara,"Indraprasth Complex, B-Wing, Race Course Rd Ellora Park, Vadodara 390023 India",4 reviews,5.0,"Chinese, Indian, Barbecue, Thai, Central Asian","Lunch, Dinner, Brunch, After-hours","Delivery, Takeout, Reservations, Seating, Parking Available, Validated Parking, Valet Parking, Television, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, Family style, Non-smoking restaurants",12:45 pm - 11:45 pm and 12:45 pm - 11:45 pm,+91 63524 42928
Khamma Ghani - The Royal Kitchens Of Rajasthan,"Jetalpur Road Capri House 2, 15, Sudha Nagar, Vadodara 390007 India",56 reviews,4.0,"Indian, Asian",Vegetarian Friendly,"Lunch, Dinner",11:30 am - 3:00 pm and 7:00 pm - 10:30 pm,+91 265 233 7809
Barista,"Race Course Circle Seven Seals Mall, Vadodara 390007 India",25 reviews,4.0,Cafe,Breakfast,"Takeout, Seating",,+91 265 662 2904
,,,,,,,,
,,,,,,,,
Barbeque Nation,"3rd Floor, Cinemall, Race Course Rd, Near Natubai Circle Near Natubai Circle,, Vadodara 390007 India",19 reviews,4.5,Indian,Vegetarian Friendly,"Lunch, Dinner",12:00 pm - 3:00 pm and 7:00 pm - 11:00 pm,+91 78490 06060
Ekta Restaurant & Banquet,"Samarkha Crossing National Highway No 8, Anand 388001 India",55 reviews,4.0,₹0 – ₹4,"Chinese, Indian, Fast food, Asian","Vegetarian Friendly, Vegan Options",7:00 am - 11:55 pm and 7:00 am - 11:55 pm,+91 89804 00004
,,,,,,,,
,,,,,,,,
Tandoor A Garden Restaurant,"Village Limda, Tal Waghodia, Vadodara 391760 India",17 reviews,3.5,Indian,Vegetarian Friendly,"Lunch, Dinner",,+91 98252 52546
,,,,,,,,
Havmor,"Inox Road Cine Mall, Race Course, Vadodara 390007 India",16 reviews,4.5,"Indian, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner",,"Inox Road Cine Mall, Race Course, Vadodara 390007 India"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Millennium Restaurant,"Abbas Tayabji Marg Race course Road, Vadodara 390020 India",20 reviews,4.0,"Chinese, Indian, Asian, Middle Eastern, Pakistani","Vegetarian Friendly, Halal","Lunch, Dinner",11:00 am - 11:00 pm and 11:00 am - 11:00 pm,2788435
Cafe Bistro,"Sugam Apartment Opposite Galaria Mall, Vadodara 390007 India",34 reviews,4.0,₹1 – ₹7,"Pizza, Cafe, Fast food, European","Vegetarian Friendly, Vegan Options",9:00 am - 11:45 pm and 9:00 am - 11:45 pm,+91 99043 19904
Ustad Miyaan,"Alkapuri Shopping Centre, Vishwas Colony, Alkapuri, Vadodara India",35 reviews,4.0,"Indian, Asian","Vegetarian Friendly, Halal",Dinner,,+91 90336 96632
Le Prive World Cuisine & Pizzeria,"17, Nutan Bharat Opp. Relience Fresh, Alkapuri, Vadodara 390005 India",19 reviews,4.5,"Italian, Indian, Pizza","Vegetarian Friendly, Vegan Options","Lunch, Dinner",,+91 70167 22508
Radhika Restaurant,"Kadak Bazar Sayajigunj, Near Railway Station, Vadodara 390005 India",15 reviews,4.5,Indian,Vegetarian Friendly,"Lunch, Dinner",11:00 am - 3:00 pm and 7:00 pm - 10:30 pm,+91 265 236 1019
Tarkari Restaurant,"Nr Dumad Crossing Banyan Paradise Resort, Vemali, Vadodara 391740 India",16 reviews,4.5,₹4 – ₹6,"Mexican, Chinese, Indian","Breakfast, Lunch, Dinner",9:00 am - 12:00 am and 9:00 am - 12:00 am,+91 72650 55666
