title,address,total_ratings,rating,type,type2,description,timing,phone
Mirch Masala,"S K Choudhari Marg, Vadodara 390007 India",156 reviews,4.0,"Indian, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner",,+91 265 235 0685
,,,,,,,,
,,,,,,,,
Lalabhai Sev Usal,"Mangalkirti Complex Fatehgunj, Vadodara 390002 India",11 reviews,3.5,"Indian, Fast food",Vegetarian Friendly,Lunch,,"Mangalkirti Complex Fatehgunj, Vadodara 390002 India"
Hotel Surya,"Sayaji Gunj, Vadodara 390020 India",49 reviews,4.0,"Indian, International, Asian","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner",,2361361
Jay Mahakali Sev Usal,"Near Utkarsh Petrol Pump, Vadodara 390018 India",9 reviews,4.5,Fast food,"₹₹ - ₹₹₹ · Indian, Asian","₹₹ - ₹₹₹ · Indian, Asian",,"Near Utkarsh Petrol Pump, Vadodara 390018 India"
,,,,,,,,
My Restaurant,"Old Padra Road Solitare Complex Ground Floor, Vadodara 390015 India",46 reviews,4.0,"Indian, Asian","Vegetarian Friendly, Halal","Lunch, Dinner, After-hours",8:00 am - 11:00 pm and 8:00 am - 11:00 pm,+91 93204 46545
Mohanthal - CLOSED,"101, Trivia Complex, Natubhai Circle, Gotri Road 101, Trivya Complex, Near Natubhai Circle, Vadodara 390007 India",42 reviews,3.5,Indian,Vegetarian Friendly,"Lunch, Dinner",,+91 95585 37147
,,,,,,,,
,,,,,,,,
,,,,,,,,
Subway,"Shop No. 4/3 & 4/4, Govardhan Apartments Near Utkarsh Petrol Pump, Muktanand, Karelibaug, Vadodara 390018 India",59 reviews,4.0,₹0 – ₹2,"Fast food, International","Vegetarian Friendly, Vegan Options",12:00 pm - 1:00 am and 12:00 pm - 1:00 am,+91 265 248 0830
New Alka,"RC Dutt Road Sandeep Apartment, Vadodara 390021 India",96 reviews,4.0,"Indian, Asian","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner",9:00 am - 11:00 pm and 9:00 am - 11:00 pm,+91 265 225 2460
Mynt,"Vivanta Vadodara, Akota Gardens Shushil Park Society, Sheetal Nagar, Akota, Vadodara 390020 India",24 reviews,5.0,"Chinese, American, Indian, Pizza, International, Asian","Breakfast, Lunch, Dinner","Reservations, Buffet, Seating, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service, Family style, Gift Cards Available",7:00 am - 1:00 am and 7:00 am - 1:00 am,+91 265 661 7676
Sankalp Restaurant,"101/102 Race Course Road Opposite Axis Bank, Alkapuri, Vadodara 390007 India",56 reviews,4.0,"Indian, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner",11:00 am - 11:00 pm and 11:00 am - 11:00 pm,+91 265 235 1516
The Secret Kitchen,"201-203, The Emerald Building, Near Bird Circle, Racecource 201-203, The Emerald, Near Bird Circle, Racecource, Vadodara 390007 India",57 reviews,4.0,"Indian, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner",,+91 98251 75399
Meraki,"Meraki Kitchen Nf-39, First Floor,india Bull Mega Mall,nnear Jetalpur Flyover Bridge,nakota Ground Floor Shagun Exotica, Opposite 2 Kunj Society, Near Nilkanthvarni Jewelers, Alkapuri, Vadodara 390007 India",51 reviews,4.0,₹1 – ₹18,"Indian, Asian","Vegetarian Friendly, Vegan Options",12:00 pm - 3:00 pm and 7:00 pm - 11:00 pm,+91 265 233 9993
Hariyali Restaurant,"48 Waghodia Road Opp Prabhat Bus Stop, Vadodara 390019 India",50 reviews,4.0,"Chinese, Indian","Vegetarian Friendly, Vegan Options","Lunch, Dinner, Brunch",11:00 am - 11:00 pm and 11:00 am - 11:00 pm,+917283944856
Santushti Shakes and More,"4 Ashok Apartment Shop No Fatehgunk Main Road Fatehgunj, Vadodara 390002 India",25 reviews,4.5,"Takeout, Seating",₹₹ - ₹₹₹,₹₹ - ₹₹₹,,+91 96246 96245
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Gusto's Pizzeria,"Ellora Park Shaimi Society, Vadodara 390023 India",7 reviews,5.0,₹3 – ₹10,"Italian, Pizza, Southern-Italian","Lunch, Dinner, After-hours",11:00 am - 8:00 pm and 11:00 am - 8:00 pm,+91 70160 54450
,,,,,,,,
,,,,,,,,
Cafe Fitoor,"SB 1,2,3 Landmark Complex Race Course, Vadodara 390007 India",43 reviews,4.5,₹2 – ₹14,Diner,Vegetarian Friendly,12:00 pm - 10:30 pm and 12:00 pm - 10:30 pm,+91 265 605 5590
,,,,,,,,
